作曲者,No.,曲名,Op.,フルート,オーボエ,クラリネット,ファゴット,ホルン,トランペット,トロンボーン,チューバ,打楽器,その他,分数,提出者からのコメント
ショスタコーヴィチ,49,ヴァイオリン協奏曲第1番,77,3(1),3(1),3(1),2/1,4,0,0,1,Timp. ゴング/Tamb. 木琴③,"Vn.独奏 Hp:2,Cel.",30,
ショスタコーヴィチ,50,交響曲第9番,70,2/1,2/1,2,2,4,2,3,1,"Timp. S.D./Cym/Sus.Cym.
Trg/B.D/Tamb.③",,25,
スクリャービン,51,ピアノ協奏曲,,2,2,2,2,4,2,3,0,Timp.①,Pf.独奏,27,
ステーンハンマル,52,ピアノ協奏曲,,2,2,2,2,4,2,3,1,Timp.①,Pf.独奏,30,
スッペ,53,喜歌劇「軽騎兵」序曲,,1/1,2,2,2,4,2,3,0,Timp. Cym. B.D. S.D.④,,6,
スメタナ,54,交響詩「ヴィシェフラド」,,2/1,2,2,2,4,2,3,1,Timp. Cym. Trg. B.D.④,Hp.(任意で2),14,
スメタナ,55,交響詩「モルダウ」,,2/1,2,2,2,4,2,3,1,Timp. Cym. Trg. B.D.④,Hp.,12,
スメタナ,56,交響詩「シャルーカ」,,2/1,2,2,2,4,2,3,1,Timp. Cym. Trg.③,,10,
チャイコフスキー,57,幻想序曲「ロメオとジュリエット」,,2/1,2/1,2,2,4,2,3,1,Timp. Cym. B.D.③,Hp.,18,
チャイコフスキー,58,祝典序曲「1812年」,49,2/1,2/1,2,2,4,2/2,3,1,Timp.Trg.Tamb S.D.Cym B.D.鐘 大砲⑥,,15,
チャイコフスキー,59,イタリア奇想曲,45,3(1),2/1,2,2,4,2/2,3,1,Timp. B.D. Cym. Trg./Tamb. 鉄琴⑤,Hp.,15,
チャイコフスキー,60,バレエ「白鳥の湖」より抜粋,,2/1,2,2,2,4,2/2,3,1,Timp. Trg. B.D. Cym.④,Hp.,20,
チャイコフスキー,61,バレエ組曲「くるみ割り人形」,71a,3(1),2/1,2/1,2,4,2,3,1,Timp. Cym./Trg./Tamb./鉄琴②,Cel.(or Pf.)/Hp.,25,
チャイコフスキー,62,ヴァイオリン協奏曲,35,2,2,2,2,4,2,0,0,Timp.①,Vn.独奏,35,
チャイコフスキー,63,ピアノ協奏曲第1番,23,2,2,2,2,4,2,3,0,Timp.①,Pf.独奏,33,
デュカス,64,序曲「ポリュークト」,,2,2/1,2/1,3,4,2,3,1,Timp.①,Hp.,14,
デュカス,65,交響詩「魔法使いの弟子」,,2/1,2,2/1,3/1,4,2/2,3,0,Timp. B.D. Trg. Cym. 鉄琴 ⑤,Hp.,12,
ドヴォルザーク,66,序曲「オセロ」,93,2(1),2/1,2,2,4,2,3,1,Timp. Cym. B.D.③,Hp.,17,
ドヴォルザーク,67,スケルツォ・カプリチオーソ,66,2/1,2(1),2,2,4,2,3,1,Timp. Cym. Trg. B.D.④,Hp.,15,
ドヴォルザーク,68,チェロ協奏曲,104,2(1),2,2,2,3,2,3,1,Timp. Trg.②,Vc.独奏,38,
ドビュッシー,69,海-管弦楽のための3つの交響的素描,,2/1,2/1,2,3/1,4,3/2,3,1,Timp. B.D. Cym. Trg. 銅鑼 鉄琴,Hp:2,24,
ドビュッシー,70,小組曲,65,2(1),2(1),2,2,2,2,0,0,Timp. Cym. Trg. Tamb.④,Hp.,15,
